Month,Sales
12/1/2012,191125
1/1/2013,229930
2/1/2013,213843
3/1/2013,243549
4/1/2013,199409
5/1/2013,193328
6/1/2013,187464
7/1/2013,176947
8/1/2013,180897
9/1/2013,207621
10/1/2013,229057
11/1/2013,194895
12/1/2013,176263
1/1/2014,212185
2/1/2014,212725
3/1/2014,231161
4/1/2014,183212
5/1/2014,202438
6/1/2014,212582
7/1/2014,193919
8/1/2014,206224
9/1/2014,216240
10/1/2014,213457
11/1/2014,208124
12/1/2014,206071
1/1/2015,227125
2/1/2015,227614
3/1/2015,239399
4/1/2015,214054
5/1/2015,213600
6/1/2015,213514
7/1/2015,218861
8/1/2015,218774
9/1/2015,228688
10/1/2015,264690
11/1/2015,233542
12/1/2015,227924
1/1/2016,227952
2/1/2016,230026
3/1/2016,249064
4/1/2016,238589
5/1/2016,229367
6/1/2016,219272
7/1/2016,250947
8/1/2016,251049
9/1/2016,270630
10/1/2016,274230
11/1/2016,236521
12/1/2016,224177
1/1/2017,262238
2/1/2017,251917
3/1/2017,278123
4/1/2017,274564
5/1/2017,248145
6/1/2017,194932
7/1/2017,294006
